document,element,frequency_in_document
212pondi,אפכם,2
212pondi,אפס,2
212pondi,אפסים,4
212pondi,אפריקה,1
212pondi,אפרסם,2
212pondi,אפשטיין,4
212pondi,אפשר,9
212pondi,אפשרו,1
212pondi,אפשרי,1
212pondi,אצל,1
212pondi,אצלו,1
212pondi,אצלינו,4
212pondi,אצלנו,2
212pondi,אקוודור,1
212pondi,אקים,1
212pondi,אקיצר,1
212pondi,אקרע,1
212pondi,אראל,2
212pondi,ארבל,1
212pondi,ארבע,2
212pondi,ארבעת,1
212pondi,ארגון,15
212pondi,ארגוני,4
212pondi,ארגנטינה,3
212pondi,ארה,5
212pondi,ארוכה,4
212pondi,ארוכי,1
212pondi,ארור,1
212pondi,ארי,1
212pondi,אריה,2
212pondi,אריתראים,1
212pondi,ארמונות,1
212pondi,ארצו,1
212pondi,ארצות,2
212pondi,אש,2
212pondi,אשכנזים,1
212pondi,אשכרה,18
212pondi,אשם,6
212pondi,אשף,1
212pondi,אשר,7
212pondi,אששש,1
212pondi,אששששש,1
212pondi,אתו,1
212pondi,אתחזייא,1
212pondi,אתך,1
212pondi,אתכם,17
212pondi,אתמול,5
212pondi,אתנו,2
212pondi,אתר,1
212pondi,בא,13
212pondi,באבוההה,1
212pondi,באדם,1
212pondi,באה,1
212pondi,באוגדת,1
212pondi,באוגוסט,1
212pondi,באויב,1
212pondi,באויר,1
212pondi,באולפן,2
212pondi,באולפני,2
212pondi,באולפנים,4
212pondi,באום,1
212pondi,באומץ,1
212pondi,באוניברסיטאות,1
212pondi,באונס,1
212pondi,באופן,2
212pondi,באוקטובר,3
212pondi,באותה,1
212pondi,באותם,1
212pondi,באזהרה,1
212pondi,באזרחים,1
212pondi,באחים,1
212pondi,באחרונה,1
212pondi,באי,3
212pondi,באיוש,2
212pondi,באיזה,5
212pondi,באים,4
212pondi,באימא,1
212pondi,באימוני,1
212pondi,באינטרסים,1
212pondi,באיראן,2
212pondi,באירוע,2
212pondi,באכזריות,1
212pondi,באלג,2
212pondi,באלימות,3
212pondi,באמירת,1
212pondi,באמסטרדם,1
212pondi,באמצע,6
212pondi,באמצעות,3
212pondi,באמצעים,2
212pondi,באמריקה,1
212pondi,באמת,18
212pondi,באסה,1
212pondi,באסף,1
212pondi,באף,1
212pondi,באקדח,1
212pondi,בארה,2
212pondi,בארון,1
212pondi,בארונות,3
212pondi,בארי,5
212pondi,בארץ,5
212pondi,בארצות,4
212pondi,באש,3
212pondi,באשר,2
212pondi,באתם,1
212pondi,בבא,1
212pondi,בבדיקה,1
212pondi,בבוא,1
212pondi,בבוגדי,1
212pondi,בבוגדים,2
212pondi,בבוקר,2
212pondi,בבחירות,2
212pondi,בבטחון,1
212pondi,בביוב,1
212pondi,בביזנס,1
212pondi,בביירות,3
212pondi,בבית,7
212pondi,בבסיס,1
212pondi,בבקבוקי,1
212pondi,בבקשה,4
212pondi,בבר,1
212pondi,בברית,1
212pondi,בבתי,3
212pondi,בבתים,1
212pondi,בג,3
212pondi,בגבול,1
212pondi,בגבורה,1
212pondi,בגבר,1
212pondi,בגדו,3
212pondi,בגדים,1
212pondi,בגוויה,1
212pondi,בגוונוי,1
212pondi,בגווני,1
212pondi,בגוונים,3
212pondi,בגוונין,2
212pondi,בגופם,1
212pondi,בגזרה,1
212pondi,בגידה,22
212pondi,בגידהההה,1
212pondi,בגל,1
212pondi,בגלותא,1
212pondi,בגליל,1
212pondi,בגללך,3
212pondi,בגן,1
212pondi,בגץ,8
212pondi,בגרון,1
212pondi,בגרמניה,1
212pondi,בגרסת,1
212pondi,בגשם,1
212pondi,בדאחיה,1
212pondi,בדבר,1
212pondi,בדואי,3
212pondi,בדוק,5
212pondi,בדוקה,1
212pondi,בדיאם,7
212pondi,בדיוק,19
212pondi,בדיחה,4
212pondi,בדיחות,4
212pondi,בדיעבד,2
212pondi,בדיקה,3
212pondi,בדיקטטור,1
212pondi,בדם,1
212pondi,בדמייך,1
212pondi,בדמים,1
212pondi,בדף,2
212pondi,בדרום,6
212pondi,בדרומה,1
212pondi,בדרישה,1
212pondi,בדרך,5
212pondi,בדרכים,1
212pondi,בדרכן,1
212pondi,בה,5
212pondi,בהאג,1
212pondi,בההיא,1
212pondi,בהחלט,6
212pondi,בהחלטתו,1
212pondi,בהילולת,1
212pondi,בהיסטוריה,1
212pondi,בהיר,1
212pondi,בהירים,2
212pondi,בהכוונה,1
212pondi,בהלם,4
212pondi,בהם,14
212pondi,בהמוניכם,1
212pondi,בהמשך,2
212pondi,בהמשכים,1
212pondi,בהן,2
212pondi,בהנהלת,1
212pondi,בהסוואה,1
212pondi,בהערכת,1
212pondi,בהפגנות,2
212pondi,בהפוכה,1
212pondi,בהקדם,2
212pondi,בהקיץ,1
212pondi,בהשמדתנו,1
212pondi,בהתאם,6
212pondi,בהתחלה,1
212pondi,בהתחשב,1
212pondi,בו,2
212pondi,בואו,1
212pondi,בובה,2
212pondi,בוגד,23
212pondi,בוגדי,1
212pondi,בוגדים,48
212pondi,בוגדנית,1
212pondi,בוגדת,9
212pondi,בוגי,1
212pondi,בוגר,4
212pondi,בוגרי,44
212pondi,בודאות,1
212pondi,בודד,1
212pondi,בודק,1
212pondi,בוחל,1
212pondi,בוחר,1
212pondi,בוט,9
212pondi,בוטל,2
212pondi,בוכה,1
212pondi,בול,4
212pondi,בולם,1
212pondi,בולמים,1
212pondi,בום,3
212pondi,בוםםםםם,1
212pondi,בוםםםםםםםםםםם,1
212pondi,בונד,2
212pondi,בונה,1
212pondi,בונים,2
212pondi,בועדת,1
212pondi,בועט,1
212pondi,בוערת,1
212pondi,בוקצ,1
212pondi,בוקר,8
212pondi,בור,3
212pondi,בושה,10
212pondi,בז,3
212pondi,בזבוזי,1
212pondi,בזה,5
212pondi,בזוהר,3
212pondi,בזוי,2
212pondi,בזכות,3
212pondi,בזכותך,1
212pondi,בזמן,19
212pondi,בזנב,1
212pondi,בח,1
212pondi,בחג,1
212pondi,בחו,1
212pondi,בחודש,1
212pondi,בחווארה,1
212pondi,בחופש,2
212pondi,בחוץ,1
212pondi,בחות,1
212pondi,בחזרה,1
212pondi,בחטו,1
212pondi,בחטופים,2
212pondi,בחיים,2
212pondi,בחירות,5
212pondi,בחמאס,6
212pondi,בחסות,1
212pondi,בחקירה,1
212pondi,בחרנו,1
212pondi,בחשבון,3
212pondi,בחשד,1
212pondi,בטאבו,1
212pondi,בטבח,6
212pondi,בטבילה,1
212pondi,בטבעו,1
212pondi,בטוויטר,6
212pondi,בטוח,3
212pondi,בטורקיה,1
212pondi,בטח,3
212pondi,בטחון,1
212pondi,בטחוניים,1
212pondi,בטילים,1
212pondi,בטירוף,1
212pondi,בטעות,1
212pondi,בטענה,1
212pondi,בטראומה,1
212pondi,בטרור,3
212pondi,ביבי,53
212pondi,ביבים,1
212pondi,ביביסטים,1
212pondi,ביד,1
212pondi,בידוק,3
212pondi,בידור,1
212pondi,בידי,4
212pondi,בידיים,5
212pondi,ביהודה,2
212pondi,ביהודים,1
212pondi,ביהמ,2
212pondi,ביו,1
212pondi,ביוב,1
212pondi,ביובלים,1
212pondi,ביום,9
212pondi,ביוקר,2
212pondi,ביותר,7
212pondi,ביזו,2
212pondi,ביזיון,1
212pondi,ביחידת,1
212pondi,ביטוי,1
212pondi,ביטויייי,1
212pondi,ביטון,2
212pondi,ביטחוני,2
212pondi,ביטחונית,1
212pondi,ביידי,1
212pondi,ביידן,7
212pondi,בייייי,2
212pondi,ביכולתו,1
212pondi,בילתו,1
212pondi,בים,2
212pondi,בימים,4
212pondi,בימין,1
212pondi,בימניים,2
212pondi,בינה,1
212pondi,בינהם,1
212pondi,בינוי,1
212pondi,ביניים,1
212pondi,ביניין,1
212pondi,ביניינים,1
212pondi,בינך,1
212pondi,בינלאומי,1
212pondi,בינתיים,2
212pondi,ביסמוט,5
212pondi,ביציאה,1
212pondi,ביצעו,1
212pondi,ביקורת,2
212pondi,ביקר,1
212pondi,ביקשה,1
212pondi,בירדן,1
212pondi,בירושלים,5
212pondi,ביריות,1
212pondi,בירקון,10
212pondi,ביש,1
212pondi,בישוב,1
212pondi,בישראל,24
212pondi,בית,10
212pondi,ביתו,1
212pondi,בך,5
212pondi,בכביש,2
212pondi,בכווית,1
212pondi,בכוונה,1
212pondi,בכוונתי,1
212pondi,בכוח,4
212pondi,בכולנו,2
212pondi,בכוננות,1
212pondi,בכותל,1
212pondi,בכייף,1
212pondi,בכיר,2
212pondi,בכירי,2
212pondi,בכירים,3
212pondi,בכיתה,1
212pondi,בכך,3
212pondi,בכל,48
212pondi,בכלא,11
212pondi,בכלל,12
212pondi,בכם,2
212pondi,בכמות,2
212pondi,בכניסה,2
212pondi,בכנסת,7
212pondi,בכספים,1
212pondi,בכספת,2
212pondi,בכפייה,1
212pondi,בכפר,1
212pondi,בכר,2
212pondi,בכרם,2
212pondi,בלב,5
212pondi,בלבוש,1
212pondi,בלבנון,5
212pondi,בלהב,2
212pondi,בלהקה,1
212pondi,בלחץ,6
212pondi,בלט,1
212pondi,בלי,29
212pondi,בלייב,3
212pondi,בלילה,1
212pondi,בלינקן,2
212pondi,בלם,1
212pondi,בלמו,1
212pondi,בלמתי,1
212pondi,בלעדי,3
212pondi,בלעדיכם,1
212pondi,בלפור,1
212pondi,בלתי,12
212pondi,במאג,1
212pondi,במאות,1
212pondi,במבנים,1
212pondi,במגדל,1
212pondi,במגזר,2
212pondi,במגננה,1
212pondi,במגע,1
212pondi,במדי,1
212pondi,במדינה,8
212pondi,במדינות,2
212pondi,במדינת,1
212pondi,במה,5
212pondi,במהלך,3
212pondi,במו,1
212pondi,במוח,1
212pondi,במולדת,1
212pondi,במוסדות,1
212pondi,במוצהר,1
212pondi,במזומן,3
212pondi,במזיד,1
212pondi,במזרח,1
212pondi,במחאה,2
212pondi,במחאות,1
212pondi,במחירים,1
212pondi,במחנה,1
212pondi,במחסום,1
212pondi,במטומטמיםםםםםם,1
212pondi,במטכ,2
212pondi,במטרה,2
212pondi,במידה,2
212pondi,במיוחד,10
212pondi,במיטתם,1
212pondi,במיידי,12
212pondi,במילואים,1
212pondi,במימון,2
212pondi,במינימום,1
212pondi,במישור,2
212pondi,במכוניתו,1
212pondi,במלאכה,2
212pondi,במלחמה,2
212pondi,במלחמות,4
212pondi,במלכודת,1
212pondi,בממוצע,1
212pondi,בממשלה,2
212pondi,במסגדים,2
212pondi,במסגרת,1
212pondi,במסווה,1
212pondi,במסיבת,1
212pondi,במסלול,1
212pondi,במסתרים,2
212pondi,במעבר,2
212pondi,במעט,1
212pondi,במעמדי,1
212pondi,במערב,1
212pondi,במערות,1
212pondi,במפרץ,1
212pondi,במצח,2
212pondi,במציאות,1
212pondi,במצעד,2
212pondi,במצרים,1
212pondi,במקביל,1
212pondi,במקומו,1
212pondi,במקומות,3
212pondi,במקומם,1
212pondi,במקרה,1
212pondi,במקרים,1
212pondi,במרחב,1
212pondi,במרחק,1
212pondi,במרכז,1
212pondi,במשטרת,1
212pondi,במשך,4
212pondi,במשמרת,2
212pondi,במשפחות,1
212pondi,במתח,1
212pondi,בנאקורה,1
212pondi,בנבטיה,2
212pondi,בנגל,1
212pondi,בנה,1
212pondi,בנו,3
212pondi,בנוסף,1
212pondi,בנות,2
212pondi,בנחלי,1
212pondi,בנטו,1
212pondi,בניגוד,1
212pondi,בניגריה,1
212pondi,בנידון,2
212pondi,בניה,1
212pondi,בניהם,3
212pondi,בניינים,2
212pondi,בנייר,1
212pondi,בנימין,4
212pondi,בנינו,1
212pondi,בנם,1
212pondi,בנס,1
212pondi,בנקורה,1
212pondi,בנשק,1
212pondi,בנתיבות,1
212pondi,בנתיים,2
212pondi,בנתינה,1
212pondi,בנתניה,1
212pondi,בסבב,1
212pondi,בסבבים,1
212pondi,בסג,1
212pondi,בסגנון,1
212pondi,בסדר,7
212pondi,בסוסים,1
212pondi,בסוף,12
212pondi,בסופו,1
212pondi,בסיכוי,1
212pondi,בסיס,2
212pondi,בסיסיים,2
212pondi,בסיסמאות,1
212pondi,בסיפור,2
212pondi,בסירטון,1
212pondi,בסכין,1
212pondi,בסכנה,1
212pondi,בסמוך,2
212pondi,בסמול,5
212pondi,בסמכות,2
212pondi,בספר,1
212pondi,בסקיור,1
212pondi,בסקרים,1
212pondi,בסרוגות,1
212pondi,בסרט,1
212pondi,בסרטון,5
212pondi,בסתר,1
212pondi,בע,2
212pondi,בעבודה,3
212pondi,בעברית,26
212pondi,בעד,7
212pondi,בעדינות,1
212pondi,בעודה,1
212pondi,בעוז,1
212pondi,בעוטף,5
212pondi,בעולם,22
212pondi,בעולםםםם,1
212pondi,בעולםםםםםם,1
212pondi,בעוצמה,1
212pondi,בעוקב,1
212pondi,בעוקף,1
212pondi,בעזה,50
212pondi,בעזרת,2
212pondi,בעזתים,1
212pondi,בעיה,3
212pondi,בעיטה,1
212pondi,בעיני,1
212pondi,בעיניו,1
212pondi,בעיניים,1
212pondi,בעיניך,1
212pondi,בעיר,3
212pondi,בעיראק,1
212pondi,בעיתוי,1
212pondi,בעיתוןן,1
212pondi,בעל,1
212pondi,בעלה,2
212pondi,בעליון,1
212pondi,בעלך,1
212pondi,בעלמא,2
212pondi,בעם,4
212pondi,בעמדות,1
212pondi,בעננא,1
212pondi,בענק,1
212pondi,בעסקה,2
212pondi,בעצם,1
212pondi,בעצמה,1
212pondi,בעצמך,1
212pondi,בעצמם,1
212pondi,בעצרת,1
212pondi,בעקבות,4
212pondi,בעקיפין,1
212pondi,בערב,3
212pondi,בערבי,2
212pondi,בערבית,1
212pondi,בערוץ,4
212pondi,בערוצי,9
212pondi,בערוצים,2
212pondi,בערך,1
212pondi,בעת,1
212pondi,בעתירה,1
212pondi,בפגישה,1
212pondi,בפח,2
212pondi,בפיגוע,2
212pondi,בפיזור,1
212pondi,בפינו,1
212pondi,בפינצטה,1
212pondi,בפיקוד,1
212pondi,בפיקודו,1
212pondi,בפירוש,1
212pondi,בפלסטין,1
212pondi,בפניך,2
212pondi,בפנים,2
212pondi,בפנסיות,2
212pondi,בפסק,1
212pondi,בפעם,5
212pondi,בפרטי,1
212pondi,בפריז,1
212pondi,בפריים,1
212pondi,בפרצוף,6
212pondi,בפרקי,1
212pondi,בפרקליטות,2
212pondi,בפשיטה,1
212pondi,בצד,6
212pondi,בצה,2
212pondi,בצהל,3
212pondi,בצומת,1
212pondi,בציבור,1
212pondi,בציון,2
212pondi,בצינוק,2
212pondi,בצל,1
212pondi,בצלאל,1
212pondi,בצלם,1
212pondi,בצמרת,5
212pondi,בצער,1
212pondi,בצפון,6
212pondi,בצרעת,1
212pondi,בקבוצות,3
212pondi,בקבוצת,1
212pondi,בקבוק,1
212pondi,בקבינט,2
212pondi,בקול,1
212pondi,בקטנה,1
212pondi,בקיבוצים,1
212pondi,בקלפי,13
212pondi,בקלפן,1
212pondi,בקמפיין,1
212pondi,בקנדה,1
212pondi,בקסדה,1
212pondi,בקרב,4
212pondi,בקרבות,1
212pondi,בקרבת,1
212pondi,בקרוב,3
212pondi,בקריאת,1
212pondi,בקריה,1
212pondi,בקריקטורה,3
212pondi,בקרירה,1
212pondi,בקשה,2
212pondi,בקשנו,1
212pondi,בקשר,2
212pondi,בר,6
212pondi,ברא,2
212pondi,בראון,1
212pondi,בראיון,2
212pondi,בראש,6
212pondi,בראשי,1
212pondi,ברבים,1
212pondi,ברבעונים,1
212pondi,ברברי,1
212pondi,ברברים,2
212pondi,ברגותי,1
212pondi,ברגל,1
212pondi,ברגע,4
212pondi,ברדוגו,4
212pondi,ברהההההההה,1
212pondi,ברובם,5
212pondi,ברוך,3
212pondi,ברון,1
212pondi,ברוצח,1
212pondi,ברור,26
212pondi,ברורות,1
212pondi,ברוררר,1
212pondi,ברורררר,1
212pondi,ברזא,1
212pondi,ברזל,2
212pondi,ברח,1
212pondi,ברחבת,2
212pondi,ברחת,1
212pondi,ברטה,1
212pondi,בריא,1
212pondi,בריאות,2
212pondi,בריאיון,1
212pondi,בריינר,1
212pondi,בריל,1
212pondi,בריצפה,1
212pondi,ברית,3
212pondi,ברך,1
212pondi,ברכב,3
212pondi,ברכבי,1
212pondi,ברכבת,2
212pondi,ברכה,2
212pondi,ברלין,1
212pondi,ברמונדי,1
212pondi,ברנע,2
212pondi,ברסלר,5
212pondi,ברעננה,1
212pondi,ברפיח,3
212pondi,ברצון,1
212pondi,ברצועה,4
212pondi,ברצח,1
212pondi,ברצינות,1
212pondi,ברצף,1
212pondi,ברק,38
212pondi,ברקאי,1
212pondi,ברשיון,1
212pondi,ברשימה,2
212pondi,ברשת,4
212pondi,בשבוע,1
212pondi,בשבועות,1
212pondi,בשבי,1
212pondi,בשבילי,1
212pondi,בשבילך,3
212pondi,בשבילכם,1
212pondi,בשדה,2
212pondi,בשהשה,1
212pondi,בשואה,2
212pondi,בשוודיה,1
212pondi,בשווה,1
212pondi,בשוויץ,1
212pondi,בשום,1
212pondi,בשומרי,2
212pondi,בשוק,1
212pondi,בשושו,1
212pondi,בשטויות,3
212pondi,בשטח,5
212pondi,בשיא,1
212pondi,בשיגורים,1
212pondi,בשינוי,1
212pondi,בשירות,1
212pondi,בשירותי,1
212pondi,בשכונת,2
212pondi,בשליטה,2
212pondi,בשם,5
212pondi,בשמחה,1
212pondi,בשמי,1
212pondi,בשנה,4
212pondi,בשני,1
212pondi,בשנת,1
212pondi,בשעה,1
212pondi,בשקט,11
212pondi,בשקל,1
212pondi,בשתפ,1
212pondi,בת,3
212pondi,בתאבון,1
212pondi,בתאגיד,1
212pondi,בתאי,1
212pondi,בתבהלה,1
212pondi,בתגובה,3
212pondi,בתוכם,1
212pondi,בתוכניות,1
212pondi,בתחום,1
212pondi,בתחילת,1
212pondi,בתי,5
212pondi,בתים,1
212pondi,בתל,2
212pondi,בתליה,1
212pondi,בתלם,2
212pondi,בתמורה,1
212pondi,בתפקיד,1
212pondi,בתפקידו,2
212pondi,בתקוה,2
212pondi,בתקונא,1
212pondi,בתקופה,1
212pondi,בתקיפה,1
212pondi,בתקיפת,4
212pondi,בתקציבי,1
212pondi,בתקרית,2
212pondi,בתקשורת,3
212pondi,בתרדמת,1
212pondi,בתרעלה,1
212pondi,בתשלום,9
212pondi,בתשעת,1
212pondi,גאה,2
212pondi,גאוה,1
212pondi,גאון,5
212pondi,גאוני,1
212pondi,גאות,1
212pondi,גאים,1
212pondi,גב,1
212pondi,גבוהה,3
212pondi,גבוההההההה,1
212pondi,גבול,2
212pondi,גבולות,1
212pondi,גביר,9
212pondi,גבם,2
212pondi,גבר,3
212pondi,גברית,1
212pondi,גברת,4
212pondi,גדוד,2
212pondi,גדול,12
212pondi,גדולה,4
212pondi,גדולות,1
212pondi,גדולים,1
212pondi,גדעון,4
212pondi,גדר,1
212pondi,גודלים,1
212pondi,גוונין,1
212pondi,גוזל,1
212pondi,גוזר,1
212pondi,גוטליב,1
212pondi,גולן,2
212pondi,גומרים,1
212pondi,גונב,1
212pondi,גונבים,2
212pondi,גוסס,1
212pondi,גועל,1
212pondi,גועלללללללל,1
212pondi,גוף,3
212pondi,גופות,12
212pondi,גורו,1
212pondi,גורל,1
212pondi,גורלו,1
212pondi,גורם,4
212pondi,גורמי,2
212pondi,גורמים,4
