author_username,text
ShbrYwsy,"שמישהו 
יסביר לי מי המנוול שאפשר 
את זה? https://t.co/T514tmTG6n"
yosi_shahbar,"דוקטור אמיר בוחבוט... וואלה.

למילואימנקים נמאס מהאלופים ''הם באים עם ריח בושם מהבית להצטלם וללכת"" 

לוחמי המילואים שנמצאים שבועות ארוכים בשטח הרצועה מתחו ביקורת על חלק מצמרת צה""ל: ""מה עם לשאול על הלחימה ואם אנחנו צריכים משהו? עוברים לידנו כאילו אנחנו לא קיימים"". הם הביעו תסכול… https://t.co/BjT07gyoSw"
ShbrYwsy,RT @212pondi: פיצצתי תבית של אחות של מוחמד דף והקדשתי את הפיצוץ לזכר הלל סעדון חבר יקר שנפל ב7/10. https://t.co/aHOvhY5ff0
yosi_shahbar,"בגידה?
מה אתם חושבים?

 הנחו את 8200 להפסיק לצותת לחמאס שנה לפני הטבח.‼️

לקחו את מרבית הנשקים הארוכים לכיתות הכוננות, גם ביישובים על הגדר.‼️

כשרפאל חיון, אוסף מודיעין אזרחי שכבר הציל חיים, התריע כי החמאס מתכנן כיבוש יישובים, טבח וחטופים, ציודו הוחרם תוך הסבר שהוא ""נחסם… https://t.co/NPTkcq06uP"
212pondi,@Amos_Yaari אתה מניח תפילין ? איפה אתה מניח אותו ? בארון ? או על המצח ??? 😝😝😝 כופר
212pondi,@GIlP8KZGH4TSrGA @Eliyahu_a זהו ? 😳😳
212pondi,וואוו הנחת תפילין אסון לאומי יותר מהטבח שאת עשית נכון שקמה ברסלר ? @ShikmaBressler https://t.co/0HWvq6s35P
212pondi,@Armin73DR שאלה איפה הצבא היה זו שאלה שכל המדינה שואלת ואף אחד לא עונה אולי אתה יודע מדוע צהל נעלם שעות רבות עד 30 שעות במקומות מסויימים
212pondi,מי אמר ???? https://t.co/oSxckJL1A8
ShbrYwsy,"משפט ראווה.
אני מתפלל בכל ליבי שהחלטתו 
של בנימין נתניהו להשתתף בדיון בבית הדיון בהאג תהיה החלטה טובה לעם ישראל.
אני מתפלל  בכל ליבי שההחלטה 
להעמיד את אהרון ברק כנציג ישראלי בטריבונל המשפטי 
תהיה מוצלחת.
משום מה...
נדמה לי שהפרקליטות עשתה 
כיפה אדומה לנתניהו.
שלא תתבלבלו ההחלטה… https://t.co/b1XhkZY3Oy"
212pondi,@Onetruth011 הסמול מאוחדים לחסל את ערוץ הימין הם התרגלו לדבר לבד 75 שנה !!! שטיפת מוח
yosi_shahbar,"מרד.
הבטיחו וקיימו.
ב7 לאוקטובר לא התייצבו. https://t.co/huEJtKCdRg"
yosi_shahbar,"הזעקה.
של אם שכולה.
והתשובה המנוולת של החלאה 
שמינה את שרשרת הפיקוד.

כל שרשרת הפיקוד בצהל  שהייתה מעורבת בהפקרת 
תושבי הדרום ב7 לאוקטובר
ולא נקפה אצבע כדי להתריע 
בפני תושבי הדרום כדי להציל חיים  חייבים לסיים את חייהם בכלא.כולם, בלי יוצא מהכלל. https://t.co/AsU6qvcrqG"
212pondi,חודש טוב יהודים יקרים ❤️ https://t.co/InsE9M73Ri
212pondi,עם ישראל חי ❤️❤️❤️כ-50.000 איש בעצרת הרבבות ברחבת הכותל המערבי למען שחרור החטופים. תקיעת שופרות ברחבת הכותל. https://t.co/XkykwZm85B
212pondi,סמולנים פח מתי תתעוררו כשאתם משפילים את ראש הממשלה שלכם אתם עושים נזק קודם כל לעצמכם ובמיוחד שאתם יודעים שאתם משקרים לצורך חיסולו ולא שהוא באמת גרוע כי גנץ ולפיד ובנט כעפר הארץ מול ביבי אז בבקשה לצומת ליבכם !!! ותפסיקו לומר לי יאיר נתניהו בונד וכו אתם מוציאים דיבה עם זכות תביעה https://t.co/M3CPKmzIH5
212pondi,@TbtYrys @forum_tikva @YuvalKarni @NadavElimelech 🤣🤣🤣🤣 בת 98 מקללת כמו לטאה 😝😝😝
212pondi,הם התכוונו שבזכותם אנחנו מוגנים מלהגיע להאג ובכל זאת הגענו אז הם מיותרים אפשר לסגור אותם
ShbrYwsy,"@mmaor111 זה בדיוק מה שנתניהו אומר 
גם לגבי איו'ש בשטחי הרשות וגם בעזה.שליטה צבאית מוחלטת,
זה לא כיבוש.
בכיבוש אתה צריך למנות מושל צבאי וככזה אתה צריך לספק את כל השירותים, רפואה , חינוך , מגורים,פרנסה,חשמל,מים,וכו'.
בשליטה בטחונית אתה שומר לעצמך את הזכות להכנס ולצאת על-פי הצורך הבטחוני…"
212pondi,@jaczou @barak_ehud לא מפריע לך שאהוד ברק פדופיל ??? על סמים קשים !!!! טבח רודף טבח ע״י הסתה הבטחה מאות גופות בירקון אתם השתגעתם ??? המטרה מקדשת ? אין גבולות קווים אדומים משהו ??? חלאות
ShbrYwsy,"@noam1906 חחחחחחח
בגללכם אנחנו בבית הדין בהאג."
ShbrYwsy,"לא שכחתי.
לעולם לא אשכח. https://t.co/1mIUxK3ROV"
212pondi,@haggai666 @GoliX33R @BoazGolan @YinonMagal תחכה נשאר עוד 70 שנה בערך או שתפתח ערוץ ימני מתון לשיטתך
ShbrYwsy,RT @212pondi: @itzikelrov כאילו רק אתה אנושי ??? לא מפריע לך שהיא שואלת איפה היה הצבא והוא לא עונה ??? השאלה שכולם חייבים לשאול היכן היה הצ…
212pondi,@AyalaHasson @oshratlevy5 ועליהם אומרת היועמ״ש אוי למי ש….
212pondi,@jaczou @barak_ehud תלונה ??? פחחחח כל עוד אתם שולטים על הפרקליטות והמשטרה !!! תקשיב רגע מחבל קטן זכור לך שהוציאו צא״פ על 34 פדופילים שהצייד תפס ? הוא בכלא הם בחוץ
ShbrYwsy,"אמן המילים.
נותר ללא מילים. https://t.co/NU1gfBHrhw"
212pondi,@haggai666 ערוץ פח ? אתה רציני ? ואיזה ערוץ מבחינתך לא פח
212pondi,@aviadglickman מעולה זכותו גם אתם לא הייתם רוצים שלוין ימנה את עמית חדד למשל או אחרים שהוא בוחר בהם זה לגיטימי ולכן נשאר בלי נשיא כי הפעם לא ניתן לסמול לכבוש את הבגץ ויהי מה
212pondi,כל הדרך ג'פרי אפשטיין היה המממן של קרן וקסנר...  אז תדעו כולם מי היה הפושע שמימן את האסון במדינה ומאיפה שואב את כוחו מר בוגד ברק !!! @barak_ehud @NIFIsrael
ShbrYwsy,"@menachem_ilan חס וחלילה.
ממש לא.
תסכים איתי שב7 לאוקטובר 
חיל האוויר לא היה קיים בפועל.
המתקפה של החמאס החלה 
ב6:30 בבוקר.
גם בשעה 14:30 הם חטפו אנשים.
חיל האוויר באמצעות המסוקים 
היה צריך לסגור את הגבול לעזה 
ולהרוג כל מחבל שחוזר מעזה לישראל.
שום דבר מזה לא קרה.
חיל האוויר של ישראל הוא הניידת…"
212pondi,@GLADIAT20481527 היום הוכח שהם אפס אחד גדול שיתפטרו הם כישלון
212pondi,ערוצי הסמול מפחדים לראות ברשת החברתית שהציבור רושם שהטבח זו בגידה מבפנים מה הם עושים תופסים אישה אלמנה עושים עליה סרט שלם כמה שהיא מסכנה שאמרו על בעלה שהוא מהשב״כ משת״פ של חמאס בטעות רק כי הוא דומה לחלאה עם החולצה הכחולה 😝😝😝 אז תדעו לכם הציבור לא מטומטם בגידה הייתה זה ודאי
212pondi,@Haimon100 כנס דיאם
ShbrYwsy,RT @212pondi: מי אמר ???? https://t.co/oSxckJL1A8
212pondi,@RubiYona הערבים משקרים במצח נחושה ראית את השבויים איך מטנפים על חמאס נשבעים אלף שבועות שהם נגד חמאס ואם תהיה לבד מולם תחוסל
demokratya11,@PrimitiveBot הוא לא מחפש אנחנו מהיום הראשון של הטבח מחפשים מי פתח דלת לחמאס ויש המון תהיות
212pondi,@qyy03608611 באבוההה
demokratya11,@MoranT555 תעלי שוב את הציוץ שלך על העיתונאי הערבי מערוץ 12 שהוא היה בעברו ….
ShbrYwsy,"@myersivan אל תכעסי עלי...
במיוחד שאני מת לשתות קפה
ואין לי זמן."
212pondi,איזה סמולן טמבל 😝😝😝 כאילו אומר לנו יש סרטן שנקרא איראן הדרך הכי טובה להתמודד מולו זה לטפח את הסרטן מבית הערבים מעזה מאיוש ובתוך הקו הישראלי 😝😝😝😝 סע סע אידיוט ואל תתקרב לכאן עוד פעם טיפש
ShbrYwsy,"ויכבד ה' את לב פרעה.
אני בעד נאסרללה. https://t.co/chAEn90vxF"
212pondi,אשכרה מה ההבדל וזה בא לנו לסלון https://t.co/YAAG5tJLNi
212pondi,@Ha_O_ne טיול על חשבוננו עם ערכים של נאצי הוא היה מאושר שם לדעת שיהודים שהניחו תפילין נשרפו בתאי הגזים
212pondi,@KerenMarc מה זה 400 שקל אפילו לא מתנה לבר מצוה ועל זה אתם מלינים ??? בושה וחרפה שאתם עושים פוליטיקה גם בימים של מלחמה על הבית !!!!
212pondi,@Yekotialapes תותח ❤️❤️❤️
ShbrYwsy,"@michael3levy אתה כל כך צודק.
אבל לא בצדק עסקינן.
ישראל מדינה קטנה שצריכה 
את הגב של המעצמה הגדולה בעולם ולכן היא עושה פשרות.
עם יד על הלב...
אני המום מהחופש שאנחנו מקבלים מאמריקה 
וזה בזכות נתניהו...
הוא ולא אחר."
212pondi,@ly39779426 @WryYrqwny חייבים לערוף כאן ראשים לבוגדים לא ניתן שיעשו כאן עוד טבח רק כי הם מנצלים את כח השררה לרעה
212pondi,@gali18221911 שניםםםםםם קדימה רצו קצת פירסום
212pondi,@michalagmon2 התאמנו עלינו עברו לעם בגלל ציוצים
212pondi,@ilan_72 פחחחחח ים הוכחות שהם בוגדים תפתח את העיניים שלך תשאל שאלות נוקבות על היום המר ואגב ערוצי הסמול שלכם טובחים את ראש הממשלה 30 שנה רצוף בלי שום הוכחות לך תגיד להם אסססס
ShbrYwsy,"@myersivan נכון.
היא מאשימה את הצבא.
הטענות שלה היו למפקדי הצבא.
היא שואלת מה אתם (הממשלה) עושים עכשיו?"
demokratya11,@ilan_72 בועדת חקירה הכל יהיה מונח שם הם יצטרכו לענות על המון שאלות
ShbrYwsy,@myersivan את טועה. ממש טועה.
demokratya11,@Real_Israeli הוא באמת אדיוט
212pondi,@oren_uriel לאן יקירי לאן כל האדמות של הסמול והערבים לאן אלך 🤪🤪🤪
212pondi,@ShbrYwsy וואוו יוסי מקרב לב ❤️❤️❤️
ShbrYwsy,"מאי גולן 
ללא כחל וסרק.בלי למצמץ.
ככה אנחנו רוצים את המנהיגים שלנו."
demokratya11,@prydntl אתה מוסת מדבר שטויות צהל לא מעדכן את הממשלה בכלום בוגרי קרן וקסנר סמולנים עד היום לא מדווחים הם עושים פוליטיקה גם בשעת מלחמה
demokratya11,@YOSSIBAUM @itamarbengvir כל יום שהממשלה לא מעיפה אותם מכאן מוכיחה שהם גם נגועים בכלבת הקרן החדשה
demokratya11,@YOSSIBAUM @itamarbengvir הקרן החדשה שולטת כאן זה ודאי הייתי מצפה מהמדינה להעביר חוק שמוציא אותם מכאן בכל מחיר זה עוד לפני הרפורמה המשפטית !!! כל חברי הכנסת חייבים ללכת על זה בכל הכח בלי לפחד זה או הם או אנחנו
212pondi,@yhlwy4710021 @michalagmon2 אבל הוא טעה עד לחתימה
ShbrYwsy,"בג""ץ שוחט אותנו.
בג''צ מחק את העתירה שהגיש 
חלוץ להוצאת נתניהו לנבצרות.
אז למה אני עצבני?
כי הנימוק למחיקת העתירה 
*נתניהו לא מקדם את הרפורמה*.
יענו אם נתניהו יקדם את הרפורמה...
 בג''צ יוציא אותו לנבצרות. https://t.co/qexJ7rHXST"
212pondi,@twwygr סוף גנב לתליה סוף מחבל לתליה
212pondi,@jaczou @barak_ehud איך ידעת שאני בארצות הברית 🤣🤣🤣🤣 גאון
212pondi,@TbtYrys @forum_tikva @YuvalKarni @NadavElimelech מה את ??? לא הבנתי 😝😝😝😝😝 תעלי נראה את הפרצוף שלך
212pondi,הידעתם ??? https://t.co/VTUNCkkBXi
212pondi,@freyisrael1 לא כל האשכנזים בוגדים אבל כל הבוגדים אשכנזים
212pondi,@ItzhackH הבגץ חרטה ברטה סירחון אחד גדול על חשבוננו
212pondi,@Avi89801900 @Amos_Yaari הבחור רפורמי בא לעשות עלינו סיבוב מה אתה אומר נאפשר לו ? 😜
212pondi,"הידעתם ??? צביקה מור אביו של איתן החטוף בעזה מתנגד לכל עסקה בסגנון של עסקת שליט"" - מסביר את מטרת פורום 'תקווה' אותו הקים עם עוד משפחות,  ""עם ארגוני הטרור צריך להיות קשים! זה אבא חכם רק ככה מנצחים טרור 
@forum_tikva 
@YuvalKarni 
@NadavElimelech https://t.co/H32qiJCrJ3"
212pondi,@ByHyrs22376 😝😝😝😝 אתה עושה כבוד גדול למרוקאים
ShbrYwsy,"טלפון 1.
חילווה שומע?
הרצי הלווי מאזין?
אלוף פינקלמן מקשיב?
דם החללים זועק מהאדמה.
אתם לא תמלטו מעונש פלילי.
טלפון 1. https://t.co/1puDn9b2Ki"
212pondi,@jaczou @LyrShomron @barak_ehud מי צועק לממשלה כל הזמן תסייעו לעזתים ??? אתם הסמול לפחות אל תהיו דו
212pondi,פחחחחח @yairlapid כל מילה  https://t.co/1tXSlN4aX6
212pondi,@RotterNet איזה סמולן טמבל 😝😝😝 כאילו אומר לנו יש סרטן שנקרא איראן הדרך הכי טובה להתמודד מולו זה לטפח את הסרטן מבית הערבים מעזה מאיוש ובתוך הקו הישראלי 😝😝😝😝 סע סע אידיוט ואל תתקרב לכאן עוד פעם טיפש
212pondi,@abibistit מדויק רונית סיכמת מצויין זו האמת
212pondi,"@haggai666 ערוצי הסמול 75 שנה 0 רייטינג תהיה סבלן אנחנו רק בתחילת הדרך , רק צריך לשאול את קרעי מדוע הוא לא פותח ערוצים נוספים כפי שהבטיח ??? מדוע לא סוגר את התאגיד ? מדוע עדיין מזרימים תקציבים לערוצי החבלה 12 13 ? @shlomo_karhi @netanyahu @YairNetanyahu"
ShbrYwsy,"@oren_uriel חחחחח
אהבתי."
212pondi,@dimal007 אתה עובד ? 😝😝😝
demokratya11,@michalagmon2 אחד הציוצים החזקים שאהבתי מיכל
212pondi,@RmhSws @IsraelAvi3 בענק רק שהם מטייחים את האמת ואנחנו נוציא את האמת לעולם
212pondi,@ByHyrs22376 צריך לבטל אותך ושכמותך מהעולם חלאה
212pondi,משה קליין – תחזור הביתה | Moshe Klein - Tahzor Habayta (Prod by. Guy and... https://t.co/oA4PmByowk דרך @YouTube
ShbrYwsy,"RT @ShbrYwsy: בגידה?
מה אתם חושבים?

 הנחו את 8200 להפסיק לצותת לחמאס שנה לפני הטבח.‼️

לקחו את מרבית הנשקים הארוכים לכיתות הכוננות, גם ביי…"
212pondi,@MaeanaAlla77797 @michalagmon2 אתה מוכן להזדהות פנים מול פנים ???
212pondi,@Dror10665459 מזלט אצלינו האשכנזים עושים ….
212pondi,@michalagmon2 ממש ככה מתנצלים שאנחנו בכלל קיימים ויכולים לצייץ בטוויטר
212pondi,"@haggai666 @GoliX33R אהההה רק צד אחד בא לידי ביטויייי הבנתי אותך , אז תקשיב טוב מתוקי , 75 שנה שמענו צד אחד בלבד וזה הצד של עוכרי ישראל סמולנים בוגדים , כמה זמן נשאר לך לשמוע את הצד השני ??? סך הכל מאזנים בין טינופת ושקרים לאמת @BoazGolan @YinonMagal"
ShbrYwsy,"ובערת הרע מקרבך.

אין דבר רע  בלי משהו טוב.
הדבר הטוב בימים הנוראים האלה 
שהחלאה הזה לא מסתובב ללוחמים בין הרגלים.
שהפרצוף המדושן מעונג שלו 
לא שורץ בין האולפנים.
אל יקל הדבר בעיניכם
זו ברכה גדולה. https://t.co/0ssR7Dzbrn"
212pondi,"הידעתם ???? חוקרים מצאו מאות אלפי חלקיקי פלסטיק בבקבוקי מים של ליטר אחד הנמכרים בארה""ב, 90% מהם קטנים מספיק כדי להיכנס למחזור הדם האנושי.

בקבוק מים רגיל של ליטר אחד מכיל כ-240,000 שברי פלסטיק בממוצע ברובם המכריע סמולנים יש להם ערוצי תקשורת הם חודרים למחזור הדם במוח"
212pondi,@yossigadol1 @twwygr אין דמוקרטיה בישראל הסמול שולטים בכוח הזרוע ובכוח הפרקליטות הבגץ המשטרה הצבא וכו אנחנו נתקן
ShbrYwsy,"@BenzerBenzemez חחחח
כפרה עליך."
212pondi,הידעתם ??? https://t.co/rVtR9XxCuU
212pondi,@WryYrqwny @ShbrYwsy @Motty53 אשכרה ארצות הברית שולטת כאן כאילו זו המדינה שלה
212pondi,@ItzhackH הם התכוונו שבזכותם אנחנו מוגנים מלהגיע להאג ובכל זאת הגענו אז הם מיותרים אפשר לסגור אותם
ShbrYwsy,"ב7 לאוקטובר 
המודעין כיבה את הזרם המרכזי https://t.co/BYL93uXt8n"
212pondi,מי אמר ??? https://t.co/QakCmZSaSR
212pondi,@Eliyahu_a איך תגיבו לחיסול הדמוקרטיה בישראל ??
212pondi,@MarkadaL84135 @MalkaAlis @N12News אחריות זה דבר אחד אשם זה דבר אחר חשוב לדייק
212pondi,"""התעסקתם עם הדור הלא נכון""
*הגימנסיה תל אביב 2024* https://t.co/rbydo2aCIi"
